,shifted_mean1,shifted_mean2,shifted_mean3,shifted_mean4,shifted_mean5,Global_Maximum,Global_Maximum_Interval,Count_Local_Max_1,Count_Local_Max_2,Count_Local_Max_3,Count_Local_Max_4,Count_Local_Max_5,Count_Local_Min_1,Count_Local_Min_2,Count_Local_Min_3,Count_Local_Min_4,Count_Local_Min_5,Diff_Local_Max_Min_Interval_1,Diff_Local_Max_Min_Interval_2,Diff_Local_Max_Min_Interval_3,Diff_Local_Max_Min_Interval_4,Diff_Local_Max_Min_Interval_5,CGM_Displacement_Interval_1,CGM_Displacement_Interval_2,CGM_Displacement_Interval_3,CGM_Displacement_Interval_4,CGM_Displacement_Interval_5,CGM_Velocity_Interval_1,CGM_Velocity_Interval_2,CGM_Velocity_Interval_3,CGM_Velocity_Interval_4,CGM_Velocity_Interval_5
PC-1,-0.022151752290902098,-0.0277827224722359,-0.057855202431826076,-0.09962504310221097,-0.0786301736175555,0.09053792897609304,-0.49435265616837765,0.20464695457196333,0.042075982520843866,-0.5687499174948512,0.03882379293553965,0.12163590447371363,-0.07935530453279954,-0.10476312586397442,-0.1410819524221248,0.09222947565186632,0.12438516872315272,0.13659630202678466,-0.02071811335087546,-0.022248922398753222,-0.029720137979573732,0.011363742555594292,-0.03107439956845841,0.2468584645803242,0.25116381079572425,0.05912535433439211,-0.04771489917285475,-0.03107439956845842,0.24685846458032423,0.25116381079572425,0.059125354334392116,-0.047714899172854736
PC-2,-0.016323382246660835,0.010790853779056211,0.03193115628111186,0.06744637331352077,0.06849513387772631,-0.09261289897480997,0.1042199259131687,0.22448751171599066,-0.01736066903398038,0.22146690808777925,0.09101635714582816,0.5676874583783527,0.18612700152941813,0.10744187881005635,0.03511834960660621,0.21436764941533668,0.6544822462238193,0.032450693774749316,-0.05788593769755096,0.005989783198481329,-0.03518607133088668,-0.034914098919073724,0.0366944201145434,0.01957474685158382,-0.01306080849152912,-0.007521877857270489,-0.05954034942294178,0.036694420114543366,0.01957474685158383,-0.013060808491529106,-0.007521877857270491,-0.05954034942294177
PC-3,-0.4429922683579502,-0.4244827856847957,-0.35397203057300314,-0.31309049413448325,-0.21614540299223464,-0.0902430502761836,-0.053517775468840394,0.18863991672987365,0.16021162614232867,0.1902598567218542,-0.04654681538007145,-0.12959537143763264,0.06434351484991219,0.33086681076691343,0.1531852313085696,-0.19796335758733546,0.045696716592414366,0.0771545567063708,0.009258183447884795,0.01203398791570601,-0.01931794307991564,0.12446391646743318,-0.029077936728193605,0.09111260064525241,-0.03305860157976976,0.046819343636194076,0.020522613846229092,-0.029077936728193594,0.09111260064525242,-0.03305860157976975,0.04681934363619411,0.02052261384622912
PC-4,0.14755925396724423,0.16036248768123335,0.14928556855313552,0.15770926109774716,0.08495036871544166,0.07167371714254692,-0.3958149332296349,0.38849500566169926,-0.23904820377399238,0.377639469416994,-0.07837183129528254,-0.3296783820864771,0.2528121637638174,0.13075391287147528,-0.02032181444920686,0.012773641739062829,-0.047698313658378885,-0.013849502745781181,-0.11875037269261922,0.05662897815822096,0.01464834181295606,0.05502664752806891,0.20135726783163116,0.13521249269670046,-0.007081972366918649,0.14147299359183543,0.06490810418584204,0.20135726783163124,0.1352124926967005,-0.007081972366918627,0.14147299359183543,0.06490810418584202
PC-5,0.04960448081488876,0.029352764601588827,0.018626001195985457,0.0010422845661993527,-0.05242977214023417,0.17508415596433183,-0.10441027579794496,-0.24350205517752646,-0.10956806009527076,0.02963938687486601,-0.15997656321255785,-0.21631713162717162,-0.25592421486352757,-0.15563572827074756,-0.0459816735866532,-0.497698236581796,0.6173770427103026,-0.10743813349243905,0.041914489890445515,0.06362340735673491,-0.009737834882533162,0.012076628269129593,-0.04003793669415093,-0.03532935882386933,-0.04350884738483505,0.16512935081698826,0.050785167611379786,-0.04003793669415088,-0.035329358823869325,-0.043508847384835014,0.1651293508169883,0.05078516761137978
