,principal_components_1,principal_components_2,principal_components_3,principal_components_4,principal_components_5
0,-5.086133642437821,-2.3682717867076573,3.4942596074529866,-1.4614570785884209,1.6498129846457121
1,-0.8778208072361523,7.591981608605056,2.1970845483028243,2.596665888450108,0.08126140481102588
2,-3.077279447293303,1.8247362684299653,-5.64839585003377,2.666587780666739,1.3383918853738348
3,-3.070038725888059,-1.4119596392583573,-2.9314520535283246,-0.5071061717106391,0.22235646796839958
4,0.3074990870537534,-0.7239593407721285,0.41351740591366515,0.3297397922347253,-1.2263492949825476
5,-2.818406264700074,-0.6513932191146936,-0.38512112777784635,0.0022209597845040097,-0.4521991364521168
6,-1.4486198000973003,-1.9434933767967304,-0.8147686581120676,0.9074393765577546,1.1561172321616522
7,-3.8516008902778403,-1.669392474932442,-1.028000363946263,-1.173330781888302,0.5441200239808902
8,-1.647792072571113,-1.387817846400035,0.286532473296901,-0.8543867357812807,-0.026001314331932895
9,0.6700755306515876,-0.14840447473788143,0.07577026495645196,0.8036534066686819,-0.8758801311387161
10,-2.725443120637081,-0.4309836664004745,-0.05490836888796677,-0.1439547093333712,-0.26247333361832725
11,-4.288469992982675,-1.206625579511962,-1.8590197120209502,0.013622869227351536,0.9664597770688326
12,-2.0511172287334687,-1.205500655774702,-0.5926125911587649,0.18479153441476082,-0.1842278291743853
13,-2.1703501015650435,-1.126824129829248,-0.5652865398593696,2.2344074643064022,1.0207830341189998
14,0.27662780624467564,-3.161150287198223,-0.38989290883026156,-1.527012421770801,-1.0789910081478022
15,-3.5072655940616304,-2.3621207266814093,0.29778660680280705,-0.7711039725514282,1.1497889521716125
16,-2.2431473756709805,-0.9808351557541204,-0.9950801437309831,-0.27645405507429993,0.7610967916902341
17,5.0620052749700175,1.1221612104043324,0.4406412232691885,-0.9824023859180956,1.2426624539779698
18,-1.3779791386826619,-2.497464239053435,-1.0453158699392524,-0.5156382672530148,0.07149326271195496
19,-1.639812147377796,-0.5298274023274042,1.311558557388621,2.3578317079544964,0.3189822414751884
20,-0.746326837031734,-0.5905678794127026,0.5239740108182068,1.9360179143161593,0.00034325605027572153
21,1.6295564952439188,-3.651387514375128,-0.7240032817221114,-1.1989756407805212,-1.4913167377618592
22,-2.9098486486750277,-1.9882677149774728,1.9066133172676099,2.09164518799056,1.8318617106635016
