principal_components_1,principal_components_2,principal_components_3,principal_components_4,principal_components_5,principal_components_6,principal_components_7,principal_components_8,principal_components_9,principal_components_10,principal_components_11,principal_components_12,principal_components_13,principal_components_14,principal_components_15,principal_components_16,Label
-0.7947931774526352,-0.10870098065643001,0.16351263251866333,-0.0014577143323148659,-0.19211718015981122,-0.4326067900785197,0.3318325464967346,-0.3943416103455895,-0.1294596048547323,0.25221695279604756,-0.054312265127647995,-0.2947202662732471,0.06038371762908453,0.06195956298836907,0.08185203685799698,0.18764291367691016,0
0.05783453519937601,0.07385421084925363,0.2501991450706486,-0.6000963071450589,0.4294228056153971,-0.2986144389693252,0.16397483627303303,-0.2773214452844155,0.09136973646885806,-0.06658527550531185,0.3416558638550984,0.14503674477412914,0.04182912586854118,0.143158730956378,0.014285683010677473,-0.00876674073409455,1
-0.3518628961708297,0.59059531264054,0.31458795447543986,0.09522072834266777,0.2705120964041007,0.31430732067767225,0.14553630829230388,0.2940193633398308,-0.35108204607660004,0.10736012314365986,0.15510613736542003,0.0536435835840582,-0.11404251884052584,0.034932373708486134,0.09453452647604166,-0.01756154115890256,0
0.31618118729412326,0.47432940876564217,-0.021671857675302178,0.2969051719694808,-0.3509538235387948,0.0867972556552835,-0.3642631388702374,-0.02631381545161895,-0.4304911007891259,-0.44692690302679067,0.11084585549203814,0.06319892325143679,-0.08957989770905547,-0.1405487574236009,-0.1324909335975344,-0.020148095519088794,1
-0.40140047749182717,0.46024464214948685,0.14409107764529341,0.10897048289747852,0.1663176628294819,0.20108842899007479,0.1462595185225121,0.1643166466180853,-0.0692725726809022,0.21216412713528635,0.0098851293344044,0.2779105088365463,-0.1500347104530821,0.017191843362262784,-0.04107806944900604,-0.020283473972895833,1
-0.2154632538462563,0.4232268462154061,-0.45723172087201236,-0.14101055380921115,0.3209386567479181,0.2576569509339541,0.055212581488513233,0.38592633567236523,0.2201236112925905,0.30925224540733226,-0.03747300548426384,0.20673250539739274,-0.11416624299208285,-0.06318095743536528,-0.1649515306023875,-0.06261387097448948,1
0.2223010024192008,-0.21010668689447914,-0.1883180207417453,-0.3434174457412168,0.3240900029407113,0.08749671247002166,0.1833947233365746,-0.34792400265900847,-0.276392665240391,0.02725300466987313,0.046992321534139465,-0.12223516726919668,-0.11301236600091846,0.09955793135834802,0.04827087477885286,0.2546937975138101,1
0.3138750681799451,-0.11473906540744222,-0.13708665921250288,-0.08438984435205522,0.06260306796304262,-0.03994571664684769,0.20925116851604092,-0.19590555625391226,0.21840789439705494,0.3608419752787079,-0.11478944385018408,0.14428701376762476,0.20198388768506692,0.05646996702682732,0.05917272500307805,0.038941453209873564,0
-0.6891233308123824,0.030060402428368747,-0.018701620390870307,0.7501833354103565,0.06402329563465944,0.2984149349982249,-0.17621005774741846,-0.48590534794803153,0.325783887746875,0.05910985670688686,0.06323946391426097,-0.16737598402096265,-0.21220548957605462,-0.06553081386205807,-0.2736456497025426,-0.12242387843246608,1
0.3144816114697036,0.5525228464786329,0.07650736531489201,0.11113934287194581,-0.1305042908741277,0.31055545062843515,-0.21161864520138676,0.38035439537769933,0.12426521937195659,0.2067181881739388,0.38298286790647185,0.22990515469703332,0.08946811260756733,0.0717862473206893,0.03958774363917327,0.008936774811351772,0
