principal_components_1,principal_components_2,principal_components_3,Label
-1.4950250814680441,0.05616318121390575,0.015025191599030829,0
-0.20432164791544938,-0.09301934921397277,0.23495322676908004,1
-0.867252503934507,0.4568050509743889,-0.0172289782783346,0
0.4756105459096636,0.8867849346433733,-0.01709504326347308,1
-0.9488832992629387,0.12241686870958,0.024074915858540744,1
-0.6290743823736302,0.2431057906845556,0.03206329309150869,1
0.1170467714797509,-0.30403431961806593,0.3477697973107814,1
0.5146803570715217,-0.1826131283405833,0.24181888897113865,0
-1.5190337673513787,-0.18487794648146288,0.1691957391189107,1
0.7424875112391642,0.6082676565980984,-0.10558128641720288,0
0.3547356894692618,-0.4460504138503188,-0.09543121362969491,0
-0.9990475709328512,-0.12943979544075046,0.3949081587058645,0
-0.9118295282367236,0.5513631101790538,-0.1439019957521258,0
0.3702823643352639,-0.4990808424105957,-0.053051116559854894,1
1.3132875315231913,-0.5081456857480562,-0.15525443072909406,0
1.2569129765236329,0.13687087882215992,-0.03314337290056071,1
0.6206447753682647,0.5756035699050744,0.030783795241464098,1
-0.768904018859862,-0.4044700614849033,-0.30947706333622016,1
0.4236771649300034,-0.5484132989067069,-0.24107071164712074,1
-0.6067644921405709,0.6760010855051327,-0.09668832874140929,1
0.06095305492993857,0.24713056746739964,0.2182324786883109,1
-1.1089037708226528,0.19609792843746232,-0.09419200148997046,0
-0.5891545591046343,1.09729801794264,-0.09639494701707031,0
-0.10447143708851683,-0.31931929813592386,-0.026072394109927233,1
-0.9743844695812816,-0.6200341075727405,-0.07986827873591906,0
1.357402765564005,0.6670689675683423,0.30534903714063577,1
-1.7699663975406947,0.10979478956964747,0.028542051688689715,0
-0.10065384373491083,-0.13900314411390927,0.36270459669237026,0
0.03177276556460225,0.11196699974543042,0.4943392261406421,0
0.3293927585549967,0.20801224772980367,-0.060331885549720146,1
0.0923659238784411,-0.6148720636509948,0.13561819433152433,1
0.5447208425528192,0.35716336620095096,0.194632534318197,1
-0.8219097728498537,0.3184833032639761,0.055420173029417374,0
0.17479529166069746,0.5778063379919295,0.26380854903487044,1
0.8791196749915623,-0.16756316976715382,-0.0866408834211058,0
-0.6739603947895567,0.19925651290712307,0.035941666356312685,0
