mean_1,mean_2,mean_3,mean_4,mean_5,Global_Maximum,Global_Maximum_Interval,Count_Local_Max_1,Count_Local_Max_2,Count_Local_Max_3,Count_Local_Max_4,Count_Local_Max_5,Count_Local_Min_1,Count_Local_Min_2,Count_Local_Min_3,Count_Local_Min_4,Count_Local_Min_5,Diff_Local_Max_Min_Interval_1,Diff_Local_Max_Min_Interval_2,Diff_Local_Max_Min_Interval_3,Diff_Local_Max_Min_Interval_4,Diff_Local_Max_Min_Interval_5,CGM_Displacement_Interval_1,CGM_Displacement_Interval_2,CGM_Displacement_Interval_3,CGM_Displacement_Interval_4,CGM_Displacement_Interval_5,CGM_Velocity_Interval_1,CGM_Velocity_Interval_2,CGM_Velocity_Interval_3,CGM_Velocity_Interval_4,CGM_Velocity_Interval_5,Label
89.5,78.0,89.16666666666667,62.166666666666664,96.0,104.0,1,1,0,2,0,0,1,1,1,2,0,27.0,0.0,7.0,0.0,0.0,-14.0,34.0,-7.0,31.0,-60.0,-2.8,6.8,-1.4,6.2,-10.0,0
171.5,170.0,181.16666666666666,179.0,125.0,199.0,3,0,2,2,0,0,1,2,0,0,0,0.0,8.0,29.0,0.0,0.0,14.0,-6.0,-29.0,42.0,41.0,2.8,-1.2,-5.8,8.4,6.833333333333333,1
93.83333333333333,103.33333333333333,115.33333333333333,143.16666666666666,160.33333333333334,162.0,5,1,1,1,1,2,1,2,1,1,2,17.0,5.0,3.0,25.0,4.0,-8.0,0.0,-14.0,-25.0,-5.0,-1.6,0.0,-2.8,-5.0,-0.8333333333333334,0
145.0,155.66666666666666,206.66666666666666,274.8333333333333,266.5,293.0,5,2,0,0,2,0,0,1,0,1,1,12.0,0.0,0.0,26.0,0.0,-12.0,-22.0,-62.0,-20.0,36.0,-2.4,-4.4,-12.4,-4.0,6.0,1
114.16666666666667,118.0,114.0,118.83333333333333,125.5,129.0,5,1,1,1,1,2,1,1,1,1,1,2.0,7.0,1.0,7.0,0.0,9.0,-4.0,10.0,-7.0,3.0,1.8,-0.8,2.0,-1.4,0.5,1
115.66666666666667,139.66666666666666,140.5,139.83333333333334,158.16666666666666,160.0,5,0,1,0,0,2,1,0,1,0,1,0.0,31.0,0.0,0.0,4.0,37.0,-28.0,23.0,-20.0,-2.0,7.4,-5.6,4.6,-4.0,-0.3333333333333333,1
188.33333333333334,218.0,220.5,172.83333333333334,129.66666666666666,232.0,3,0,1,1,0,0,0,1,0,0,1,0.0,5.0,19.0,0.0,0.0,-44.0,7.0,2.0,75.0,-12.0,-8.8,1.4,0.4,15.0,-2.0,1
204.33333333333334,244.33333333333334,238.83333333333334,199.66666666666666,173.83333333333334,251.0,2,0,1,1,0,1,1,0,1,1,0,0.0,17.0,12.0,0.0,0.0,-29.0,-14.0,6.0,36.0,23.0,-5.8,-2.8,1.2,7.2,3.8333333333333335,0
88.0,108.5,94.83333333333333,45.833333333333336,66.83333333333333,129.0,3,1,1,0,2,0,1,0,0,3,1,0.0,42.0,0.0,11.0,4.0,13.0,-38.0,68.0,12.0,-37.0,2.6,-7.6,13.6,2.4,-6.166666666666667,1
185.66666666666666,192.33333333333334,226.33333333333334,263.6666666666667,272.3333333333333,285.0,5,1,1,0,1,2,2,1,0,1,1,0.0,9.0,0.0,10.0,1.0,17.0,-17.0,-38.0,-16.0,32.0,3.4,-3.4,-7.6,-3.2,5.333333333333333,0
